# batch_index	time	total_loss	loss_AE	loss_IM	loss_ae_reconst	kl_loss	l_fit	l_latent	l_rev
0	6052	395.6009521484375	144.0704345703125	251.53053283691406	144.02452087402344	0.045911893248558044	529.7557983398438	900.6871948242188	250100.078125
1	29	668.3238525390625	129.5093536376953	538.8145141601562	129.46395874023438	0.045402124524116516	579.6669311523438	900.89794921875	537333.9375
2	27	227.14137268066406	121.06929016113281	106.07208251953125	121.02379608154297	0.045495688915252686	540.552490234375	900.827392578125	104630.6953125
3	27	177.46640014648438	110.65888214111328	66.80752563476562	110.61238861083984	0.046491753309965134	449.0518798828125	900.9627075195312	65457.5078125
4	27	158.39804077148438	110.99951171875	47.398529052734375	110.95140075683594	0.048109836876392365	475.04901123046875	900.76220703125	46022.71484375
5	29	153.61126708984375	106.85504913330078	46.75621795654297	106.80484771728516	0.05020217224955559	470.4110107421875	900.8086547851562	45384.99609375
6	2030	132.52798461914062	101.82772827148438	30.70026206970215	101.77491760253906	0.052812349051237106	407.07763671875	900.8876953125	29392.294921875
7	29	125.43186950683594	99.13709259033203	26.29477882385254	99.08113861083984	0.05595669150352478	431.92822265625	900.7953491210938	24962.0546875
8	27	103.8449935913086	90.45420837402344	13.39078426361084	90.39566040039062	0.05855017900466919	391.5693359375	900.6769409179688	12098.537109375
9	27	100.39208984375	92.18653869628906	8.205550193786621	92.12547302246094	0.06106902286410332	370.1245422363281	900.7227172851562	6934.7021484375
10	27	96.250732421875	89.47283935546875	6.777892112731934	89.40869140625	0.06414588540792465	343.6372375488281	900.8744506835938	5533.3798828125
